Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Abhogi Kanada,"S R g m D S' - S' D m g R g m R S ; R ,D ,D S","S R ,D S ; R g m ; g m R S",Madhyam - Shadj,9PM to 12AM,S-R-g-m-D-S,S G~ M D~ N~ D M G~ R S,Karuna
Adana,S R m P d n S' - S' d n P ; m P g m R S,m P d n S'; S' d n S' ; S' d n P ; m P ; g m R S,Shadj - Pancham,9PM to 12AM,S-R-g-m-P-d-n-S,S R~ M P D~ N~ D P M G~ R S,Veera
Aheer Bhairav,S r G m P D n S' - S' n D P m G r S or S' n D P m G m r S,"G m P ; D n D ; P D P ; S' n D ; n D P m G m ; G m P m r r S ; ,n ,D ,n r r S",Madhyam - Shadj,6AM to 9AM,S-r-G-m-P-D-n-S,S r~ G M P D~ N S | S N D~ P M G r~  S,Shanta
Alhaiya Bilawal,S R G P D N S' - S' N D P D n D P m G R S,G R G P ; D n D P ; m G R ; G P D N S',Dhaivat - Gandhar,6AM to 9AM,S-R-G-m-P-D-nN-S,S R G~ P D~ N S | S N D P~ M G R S,hasya
Bageshree,"S R g m D n S' - S' n D m P D m g R S; ,n S",",n S m ; S g m ; g R S ; ,n ,D ; m D n D ; m g R S",Madhyam - Shadj,9PM to 12AM,S-R-g-m-P-D-n-S,S G~ M D~ N D M G R S,Shringar
Bahar,"S R S m P m g m D N S' - S' n P m g m R S ,N S",S m ; P m g m ; n P m ; m n D N S' ; n P m ; P m ; g m R S,Madhyam - Shadj,9PM to 12AM,S-R-g-m-P-D-nN-S,S G M~ D~ N S | N D~ P M G~ R S,Adbhuta
Bairagi,S r m P n S' - S' n P m r S,"m P n P m r ; r P m r S ; ,n S r S ;",Madhyam - Shadj,6AM to 9AM,S-r-m-P-n-S,S r~ M P~ N S | S N~ D P M r S,Shanta
Bairagi Todi,S r g P n S' - S' n P g r S,",n S r g ; g r ,n ,P ; ,n r S ;",Pancham - Shadj,6AM to 9AM,S-r-g-P-n-S,S r G~ M D~ N S | S N D M G r S,Karuna
Basant,S G M d N S' - S' N d P M G M N d M G r S,M d r' S' ; N S' r' N d P ; G M d N M G ; M d G M G ; M G M G r S ;,Tar Shadj - Pancham,9PM to 12AM,S-r-G-M-P-d-N-S,S G M~ P N~ S | S N~ D P~ M G R S,Adbhuta
Basant Mukhari,"S r G m P d n S'; - S' n d P m G r S ,n S","S r G ; G m ; P m ; P d n d P m ; P m G m ; G r ; r S ; ,n ,d ,n S r ; r G m ; G r S ; G m r S;",Pancham - Shadj,9AM to 12PM,S-r-G-m-P-d-n-S,S r~ G M P~ D N S | S N D P~ M G r S,Karuna
Bhairav,S r G m P d N S'; - S' N d P m G r S,"r r S ; d d P ; G m d d P ; G m r r S ; ,N S;",Dhaivat - Rishabh,6AM to 9AM,S-r-G-m-P-d-N-S,S r~ G M~ P D N~ S | S N D P~ M G r S,Shanta
Bhairavi,S r g m P d n S'; - S' n d P m g r S,g S r S ; g m P ; d m d n S' ; r' S' d P g m r S;,Madhyam - Shadj,6AM to 9AM,S-r-g-m-P-d-n-S,S r~ g~ m~ P d~ n~ S | S n d~ P m g r S,Karuna
Bhatiyar,S r S ; S m ; m D P ; S D ; D N P m ; P G ; M D S' - S' r' N D P ; D N P m ; P G r S,S m P ; P G r S ; S D N D ; N P ; D m ; P G ; P G r S ; M D S' ;,Shuddha Madhyam - Shadj,3AM to 6AM,S-r-G-mM-P-D-N-S,S r~ M P~ N S | S N D~ P M~ R S,Adbhuta
Bheem,",n S G m P n S' - S' n D P m G P m ; G m R S ; ,n S ,P ,n S",",n S G m P (S')n ; P (S')n S' ; S' (P)D P ; D m P ; G m R ,n S ;",Shadj - Pancham,12PM to 3PM,S-R-gG-m-P-D-n-S,S R G~ M P~ D N S | S N D P~ M G R S,Veera
Bheempalasi,",n S g m P n S' - S' n D P m g R S ,n S ,P ,n S",",n S g m P ; n D P ; S' ; n D P ; m g R S;",Madhyam - Shadj,12PM to 3PM,S-R-g-m-P-D-n-S,S G~ M D~ N S | S N D~ M G~ R S,Shringar
Bhoopali,"S R G P D S' - SÕ D P G R S R ,D S",G R G; P G; D P; S' D P G; P G R G; G R S;,Gandhar - Dhaivat,6PM to 9PM,S-R-G-P-D-S,S R~ G P D~ S | S D~ P G R~ S,Shanta
Bhupal Todi,"S r g P d S' - S' d P g r S ,d r S","S ,d S r g ; d P g r g r S;",Dhaivat - Gandhar,6AM to 9AM,S-r-g-P-d-S,S r G~ P D S | S D~ P~ G r~ S,Karuna
Bihag,"S G m P N S' - S' N DP M P G m G RS, S' N D P M G m G R S",",N S G ; G m G ; P M P G m G ; P M G m G R S;",Gandhar - Nishad,9PM to 12AM,S-R-G-mM-P-D-N-S,S G~ M P N~ S | S N D P~ M G R S,Shringar
Bihagda,S G m P N S' - S' N (D)P ; P D n D P ; G m G ; P m G (R) S;,S G m P ; m P G (R) S; G m n D P ; G m G ; G m P N S' ; S' N P ; D n D P ; G m G ; mP mP G (R) S;,Gandhar - Shuddha Nishad,9PM to 12AM,S-R-G-m-P-D-nN-S,S R G~ M P~ N S | S N D~ P M~ G R S,Hasya
Bilaskhani Todi,S r g P d S' - S' r' n d ; P ; P d n d m g r ; r g r S,"S r ,n ,d S ; S r g ; r g P ; P d n d ; d m g r ; g r S ;",Dhaivat - Gandhar,9AM to 12PM,S-r-g-m-P-d-n-S,S r~ G M~ D~ N S | S N~ D M~ G r S,Karuna
Chandrakauns,"S g m d N S' - S' N d m g m g S ,N S","S g m g S ,N ; ,N S ; g m d N S'; N d S' ; N d m g m g S ,N S;",Madhyam - Shadj,9PM to 12AM,S-g-m-d-N-S,S M~ G R~ G M D~ N S | S N D P~ M G~ R S,Adbhuta
Charukeshi,"S R G m P d n S' - S' n d P m G R S ,d ,n S",",d ,n S R G m G R ; R G m d P ; R G m R S ;",Madhyam - Shadj,9AM to 12PM,S-R-G-m-P-d-n-S,S R~ G~ M P~ D N S | S N~ D P M G~ R S,Karuna
Chhayanut,S R G R ; G P m G R S ; S R G m P D N S' - S' N D P M P D P ; R G m P m G R S,",P R R ; R G m P ; G m R S ; S' P R G ; m G m R S R S;",Pancham - Rishabh,9PM to 12AM,S-R-G-mM-P-D-N-S,S R G~ M P~ N D S | S D N P M G~ R S,Hasya
Darbari Kanada,S R g m P d n S' - S' d n P m P g m R S,"S R g (R)g ; m P d (P)d n P ; n m P S' ; S' (n)d n P m P (m)g m R S ; ,d ,n S;",Rishabh - Pancham,12AM to 3AM,S-R-g-m-P-d-n-S,S R~ G M~ P D~ N S | S N D~ P M~ G R~ S,Raudra
Des,"S R m P N S' - S' n D P D m G R G ,N S","D s m G R; G ,N s S; R m P N; S' R' n D P;",Rishabh - Pancham,9PM to 12AM,S-R-G-m-P-D-nN-S,S R M~ P~ D N~ S | S N~ D P M R S,Hasya
Deshkar,S R G P D S' - S' D P D G P G R S,"S R G P D ; D G P ; S' D ; P D G P ; G R S ; ,D S;",Dhaivat - Gandhar,6AM to 9AM,S-R-G-P-D-S,S R~ G P D S | S D~ P G~ R S,Veera
Desi,"S R m P n S' - S' P D m P R g S R ,n S","R m P ; D m P S' ; S' P D m P ; R g S R ,n S;",Pancham - Shadj,6AM to 9AM,S-R-g-m-P-D-n-S,S R~ G~ M~ P D~ N S | S N D~ P M G R S,Veera
Dev Gandhar,S R G m P m g R G m P d n S' - S' n d P m P g R G m g R S,",d ,n S R G m G m ; d m P n d P ; d m P g R S ; R G m ; P g R S ; d m P g R G m g R S ;",Dhaivat - Gandhar,9AM to 12PM,S-R-gG-m-P-d-n-S,S R G~ M P~ D N S | S N D P M G~ R S,Shanta
Devgiri Bilawal,"S R G P D N S' - S' N D P ; D n D P ; m G R S ; ,N S ; ,D ,P G R S","S ; ,D ,N ,D S R G ; G R S ; ,D ,P G ; ,N R G m G ; G P m ; G R S ;",Shadj - Pancham,6AM to 9AM,S-R-G-m-P-D-nN-S,S G~ R M~ P N S | S N~ D~ P M~ G R S,Hasya
Devshree,S R M P n S' - S' n P M R S,"R M P ; M P n P ; M R S; ,n ,P ,n S;",Pancham - Rishabh,9PM to 12AM,S-R-M-P-n-S,S G~ M P~ D N S | S N D P~ M G~ R S,Shringar
Dhanashree (Bhairavi Ang),",n S g m P n S' - S' n d P m P g m g r S",S; g m P n d P ; P d m P g ; m g r S ; g m P g r S ;,Pancham - Shadj,12PM to 3PM,S-R-g-m-P-D-n-S,S r~ G~ M P D~ N S | S N D~ P M G~ r S,Karuna
Dhani,S g m P n S' - S' n P m g S,",n S g ; S g m P g ; n P g S ;",Gandhar - Nishad,12PM to 3PM,S-g-m-P-n-S,S G~ M D~ N S | S N~ D P M G R S,Shringar
Durga,"S R m P D S' - S' D P D m R S ,D S","m P D ; m R ,D S ; R R P;",Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-S,S R G~ M P D S | S D~ P M G~ R S,Veera
Gaud Malhar,S R G m ; R P ; m P D N S' - S' n D n P m ; G R G (R)S ; R G m,S R G m ; R G m G m ; G R G (R)S ; m P D n P ; m P D N S' ;,Madhyam - Shadj,9PM to 12AM,S-R-G-m-P-D-nN-S,S R M~ P N S | S N~ D~ P M G R~ S,Adbhuta
Gaud Sarang,"S G R m G D P N D S' or ,N S G R m G; P M D M P S'; - S' N D P M P D P G R m G P R S or S' N D P M P m g ; m g R m G P R S",S G R m G P R S ; m G P ; D P S' ; S' D P m G ; G R m G P R S ;,Gandhar - Dhaivat,12PM to 3PM,S-R-G-mM-P-D-N-S,S R G~ M P N~ S | S N~ D P M G~ R S,Hasya
Gauri (Bhairav Ang),"S r ,N S; S r G m P d P; P d N S' - S' N d P m G; r G m G r; S r ,N S; ,d ,N ,d S ,N S","S r S ,N S G r; m G r S r ,N S;",Rishabh - Pancham,3PM to 6PM,S-r-G-m-P-d-N-S,S r~ G M~ P D~ N S | S N~ D P~ M~ G r S,Shanta
Gopika Basant,"S g m P m g g m d n S' - S' n d m P g m P m g S; ,d ,n S g m g S",",d ,n S g m P ; n d m P g m g S ; g m d n d P ; d m P g m g S ; ,d ,n S;",Shadj - Pancham,6AM to 9AM,S-g-m-P-d-n-S,S G~ M P~ N D S | S N D P~ M~ G R S,Shringar
Gorakh Kalyan,"S R m D S' - S' n D m R S ,n ; ,n ,D R S","S R m ; R m R S ,n ; ,n D S ; R m D n D S' ; S' n D m R ; m R S ,n ; ,n ,D R S",Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-n-S,S R~ G~ M~ P~ N S | S N~ D~ P~ M~ G R S,Shanta
Gunkali,"S r m P d S' - S' d P m r r S ,d S","S r m P d ; P d m r ; r S ,d S ; m P d d S' ; d P d m ; P m r S",Dhaivat - Rishabh,6AM to 9AM,S-r-m-P-d-S,S r G~ M P~ N S | S N D~ P M G r~ S,Karuna
Gurjari Todi,"S r g M d N S' - S' N d M d M g r g r S; ,d ,N S","S r ,N ,d S ; r g M d ; M d N d ; N d M g r ; g r S",Dhaivat - Rishabh,9AM to 12PM,S-r-g-M-d-N-S,S r~ G M~ D~ N S | S N D P~ M~ G r S,Karuna
Hameer,S G m D ; N D S'; or S G m N D P ; G m D N S' - S' N D P M P D P G m P G m R S; or S' N D P G m R S,P ; G m N D ; D P ; G m P G m R S,Dhaivat - Gandhar,9PM to 12AM,S-R-G-mM-P-D-N-S,S R~ G M~ D N~ S | S N D~ P M~ G R~ S,Shringar
Hansdhwani,"S R G P N S' - S' N P G R S ,N ,P ,N R S",",N RG P G R G P N S'; S' N P G R G P G R S",Shadj - Pancham,9PM to 12AM,S-R-G-P-N-S,S R G~ P N~ S | S N P G R~ S,Adbhuta
Hanskinkini,",N S G m P N S' - S' n D P m P G m P g R S ,N S","G m D P ; m P g R S ; ,N S G m P P ; m P ; m n D P ; D P m P ; G m D P g R S",Pancham - Shadj,12PM to 3PM,S-R-gG-m-P-D-nN-S,S G M~ P~ N S | S N~ D P~ M G~ R S,Hasya
Harikauns,S g M D n S' - S' n D M g S,"S ,D ,n S ; g M g S ; g M D n S' ; S' n D M g S ; g M g S ,n S ,D ,n g S",Gandhar - Nishad,9PM to 12AM,S-g-M-D-n-S,S M~ G D~ N S | S N~ D~ M G~ R S,Adbhuta
Hemant,S G m D N S' - S' N D P m G R S,G m D N D ; m (P)m ; N D (P)m ; G m G R S ; G m D P m G R S,Madhyam - Shadj,9PM to 12AM,S-R-G-m-P-D-N-S,S G~ M D~ N S | S N D~ M G~ R S,Shanta
Hemshree,",N S g m P N S' - S' n P m g m g S ,N ,N S",",N S g m P ; m g S g ,N S ; g m P S' ; n P ; m ; Pm gm P ; g P m g S g ,NS",Nishad - Gandhar,9PM to 12AM,S-g-m-P-nN-S,S G~ M~ D~ N S | S N D~ M~ G R S,Karuna
Hindol,"S G M D N M D S' - S' N D M G M G S ,D S","D D N M D S' ; D M G ; S ,D ,D S",Dhaivat - Gandhar,12AM to 3AM,S-G-M-D-N-S,S G~ M~ D~ N S | S N~ D M G~ S,Adbhuta
Jaijaivanti,"S ,D ,n R; R g R S; G m P m G R ; R m P N S' - S' n D P m G R g R S; ,N S ,D ,n R S",",D,n R ; R g R S ; ,N S ; R m P N ; n D P",Rishabh - Pancham,9PM to 12AM,S-R-gG-m-P-D-nN-S,S R~ G~ M P~ N S | S N~ D~ P M G~ R S,Shringar
Jaldhar Kedar,S R m P D S' - S' D P m R S,S R S m ; m R P m ; m P D S' ; R' S' D P m ; P m R S,Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-S,S R~ G P~ D~ N S | S N~ D~ P G R~ S,Adbhuta
Jaunpuri,S R m P d n S' - S' n d P m g R S,"R m P , d m P S' ; R' n d P ; m P n d P ; d m P g R m P",Dhaivat - Gandhar,9AM to 12PM,S-R-g-m-P-d-n-S,S R~ g M P~ D~ n S | S n~ D~ P M g R~ S,Karuna
Jayat,S r G P D P S' - S' P D P ; P D G P; P G r S,P D P S'; S' P ; P D G P ; P G r S,Pancham - Shadj,3PM to 6PM,S-rR-G-P-D-S,S R~ G~ M P~ N D S | S N~ D~ P M G R S,Veera
Jhinjhoti,S R m P D S'; - S' n D P m G R G S,",D S R m G ; R G S R ,n ,D ,P ,D S ; ,P ,D S R G m G ; m G R S ; R ,n ,D S",Gandhar - Nishad,9PM to 12AM,S-R-G-m-P-D-n-S,S R G~ M P~ D N S | S N~ D~ P M G~ R S,Hasya
Jog,"S G m P n S'; - S' n P m g S; ,n S",G m P n P ; P n P m G m ; G m g S,Madhyam - Shadj,9PM to 12AM,S-gG-m-P-n-S,S G~ M~ P N S | S N~ P~ M G~ R S,Shringar
Jogeshwari,S G m D n S'; - S' n D m G m g S,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; n D m ; D n S' ; S' D ; n m ; D G ; m g S",Madhyam - Shadj,9PM to 12AM,S-gG-m-D-n-S,S R G~ M~ P D~ N S | S N~ D~ P M~ G R S,Adbhuta
Pancham Jogeshwari,S G m D n S' - S' n D m G m P m g S,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; m P m g S ; n D m ; D n S' ; S' D ; n D ; D m ; P m g S",Madhyam - Shadj,9PM to 12AM,S-gG-m-P-D-n-S,S R~ G M P D~ N S | S N D~ P~ M G~ R S,Shringar
Jogiya,S r m P d S'; - S' N d P ; m m r S,r m m ; m P d ; P d N d P ; P d m r S,Madhyam - Shadj,6AM to 9AM,S-r-m-P-d-N-S,S r~ g M~ P~ D~ n S | S n D~ P M~ g r S,Shanta
Jogkauns,S G m d N S'; - S' N d P m ; P d n d P m ; G m (S)g S,G m ; G m P m ; G m d N S' ; S' N d ; P d n d m P m ; G m (S)g S ,Madhyam - Shadj,12AM - 3PM,S-gG-m-P-d-N-S,S G~ M~ D~ N S | S N~ D~ M G~ R S,Karuna
Kafi,S R g m P D n S'; - S' n D P m g R S,g R ; m P ; m P D P ; D n S' ; n D P,Pancham - Shadj,9PM to 12AM,S-R-g-m-P-D-n-S,S R~ g M P~ D~ n S | S n D~ P M~ g R S,Shringar
Kalawati,"S G P D n S'; - S' n D P G P G S ; ,n ,D S",S G P D ; P D n D ; D P ; G P D S n ; D n S ; n P ; D G ; P G S ; n D S,Pancham - Shadj,9PM to 12AM,S-G-P-D-n-S,S G~ P D~ N S | S N~ D P~ G~ S,Adbhuta
